Escola,Código INEP,UF,Município,Localização,Endereço,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Latitude,Longitude
IFSP - CAMPUS CAMPOS DO JORDAO,35433299,SP,Campos do Jordão,Urbana,"RUA MONSENHOR JOSE VITA, 280 VILA ABERNESSIA. 12467-050 Campos do Jordão - SP.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-22.7428344,-45.5926649
IFSP - CAMPUS SAO ROQUE,35433412,SP,São Roque,Urbana,"RODOVIA PREFEITO QUINTINO DE LIMA, 2100 JARDIM CONCEICAO. 18136-540 São Roque - SP.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-23.5548413,-47.1497036
IFSP - CAMPUS VOTUPORANGA,35456408,SP,Votuporanga,Urbana,"RUA JERONIMO FIGUEIRA DA COSTA, 3014 POZZOBON. 15503-110 Votuporanga - SP.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-20.40389667,-49.96768833
IFSP - CAMPUS AVARE,35456412,SP,Avaré,Urbana,"AVENIDA PROFESSOR CELSO FERREIRA DA SILVA, 1333 JARDIM EUROPA I. 18707-150 Avaré - SP.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-23.0791668,-48.9266919
IFSP - CAMPUS ITAPETININGA,35456433,SP,Itapetininga,Urbana,"AVENIDA JOAO OLIMPIO DE OLIVEIRA, 1561 VILA ASEM. 18202-000 Itapetininga - SP.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-23.59398,-48.01849
IFSP - CAMPUS PRESIDENTE EPITACIO,35456445,SP,Presidente Epitácio,Urbana,"RUA JOSE RAMOS JUNIOR, 27-50 JD TROPICAL. 19470-000 Presidente Epitácio - SP.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-21.78519,-52.1116
IFSP - CAMPUS BIRIGUI,35456457,SP,Birigui,Urbana,"RUA PEDRO CAVALO, 709 RESIDENCIAL PORTAL DA PEROLA II. 16201-407 Birigui - SP.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-21.24890288,-50.31452041
IFSP - CAMPUS HORTOLANDIA,35456469,SP,Hortolândia,Urbana,"AVENIDA THEREZA ANA CECON BREDA, 1896 VILA SAO PEDRO. 13183-250 Hortolândia - SP.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-22.85096628,-47.23137873
IFSP - CAMPUS SAO CARLOS,35456470,SP,São Carlos,Urbana,"ESTRADA MUNICIPAL PAULO EDUARDO DE ALMEIDA PRADO, S/N JARDIM GUANABARA. 13565-905 São Carlos - SP.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-21.96971833,-47.87861167
IFSP - CAMPUS BARRETOS,35456482,SP,Barretos,Urbana,"AVENIDA C-1, 250 RESIDENCIAL IDE DAHER. 14781-502 Barretos - SP.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-20.540384,-48.5490658
IFSP - CAMPUS ARARAQUARA,35456494,SP,Araraquara,Urbana,"R. DR ALDO BENEDITO PIERRI, 250 JD PAULO FREIRE. 14801-600 Araraquara - SP.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-21.78395075,-48.21092862
IFSP - CAMPUS PIRACICABA,35456500,SP,Piracicaba,Urbana,"RUA DIACONO JAIR DE OLIVEIRA, 1005 LOTEAMENTO SANTA ROSA. 13414-155 Piracicaba - SP.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-22.69344037,-47.6253036
IFSP - CAMPUS SUZANO,35456512,SP,Suzano,Urbana,"AVENIDA MOGI DAS CRUZES, 1501 PARQUE SUZANO. 08673-010 Suzano - SP.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-23.53494893,-46.32738655
IFSP - CAMPUS CAPIVARI,35456536,SP,Capivari,Urbana,"AVENIDA DOUTOR ENIO PIRES DE CAMARGO, 2971 RIBEIRAO. 13365-010 Capivari - SP.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-22.97673273,-47.47349734
IFSP - CAMPUS BOITUVA,35456585,SP,Boituva,Urbana,"AVENIDA ZELIA DE LIMA ROSA, 100 ESCOLA. RECANTO DAS PRIMAVERAS I. 18552-252 Boituva - SP.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-23.28845,-47.65201
IFSP - CAMPUS CATANDUVA,35456986,SP,Catanduva,Urbana,"RUA PASTOR JOSE DUTRA DE MORAES, 239 DISTRITO INDUSTRIAL ANTONIO ZACARO. 15808-305 Catanduva - SP.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-21.14711671,-48.94653165
AERONAUTICA ESCOLA DE ESPECIALISTAS DE,35474885,SP,Guaratinguetá,Urbana,"AVENIDA BRIGADEIRO ADEMAR LYRIO, S/Nº PEDREGULHO. 12510-020 Guaratinguetá - SP.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-22.78869,-45.22291
IFSP - CAMPUS SAO JOSE DOS CAMPOS,35493582,SP,São José dos Campos,Urbana,"RODOVIA PRESIDENTE DUTRA, S/N PORTARIA P4. JARDIM DIAMANTE. 12223-201 São José dos Campos - SP.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-23.19130931,-45.85055511
IFSP - CAMPUS REGISTRO,35494732,SP,Registro,Urbana,"AV CLARA GIANOTTI DE SOUZA, 5180 AGROCHA. 11900-000 Registro - SP.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-24.532945,-47.86940667
IFSP CAMPUS CAMPINAS,35500012,SP,Campinas,Urbana,"RUA HEITOR LACERDA GUEDES, 1000 SATELITE IRIS. 13059-581 Campinas - SP.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-22.94868437,-47.14924227
IFSP - CAMPUS MATAO,35585440,SP,Matão,Urbana,"R STEFANO DAVASSI, 625 NOVA CIDADE. 15991-502 Matão - SP.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-21.62427259,-48.34845649
IFSP - CAMPUS CUBATAO,35923242,SP,Cubatão,Urbana,"RUA MARIA CRISTINA, 50 JARDIM CASQUEIRO. 11533-160 Cubatão - SP.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-23.92807,-46.41144
IFSP - CAMPUS SERTAOZINHO,35923710,SP,Sertãozinho,Urbana,"RUA AMERICO AMBROSIO, 269 JARDIM CANAA. 14169-263 Sertãozinho - SP.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-21.1432155,-47.9725269
IFSP - CAMPUS SAO PAULO,35990012,SP,São Paulo,Urbana,"RUA PEDRO VICENTE, 625 PARI. 01109-010 São Paulo - SP.",Mais de 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-23.5238769,-46.62168736
IFTO - CAMPUS ARAGUATINS,17000335,TO,Araguatins,Rural,"POVOADO SANTA TEREZA, KM 05, S/N ZONA RURAL. 77950-000 Araguatins - TO.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-5.64520829,-48.07150463
IFTO - CAMPUS ARAGUAINA,17039673,TO,Araguaína,Urbana,"AVENIDA AMAZONAS, QD 56 LT 01. LOTEAMENTO CIMBA. 77826-170 Araguaína - TO.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-7.181755,-48.1935
IFTO - CAMPUS PORTO NACIONAL,17043980,TO,Porto Nacional,Urbana,"AVENIDA TOCANTINIA, S/N LOTEAMENTO MAE DEDE. JARDIM AMERICA. 77500-000 Porto Nacional - TO.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-10.69226196,-48.39845119
IFTO - CAMPUS GURUPI,17047382,TO,Gurupi,Urbana,"ALAMEDA MADRID, 545 JARDIM SEVILHA. 77410-470 Gurupi - TO.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-11.73914,-49.05492
IFTO - CAMPUS PALMAS,17051983,TO,Palmas,Urbana,"QUADRA AE 310 SUL AVENIDA NS 10, PLANO DIRETOR SUL. 77021-090 Palmas - TO.",Mais de 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-10.19938,-48.31248
IFTO - CAMPUS DIANOPOLIS,17055059,TO,Dianópolis,Rural,"RODOVIA TO-040, KM 349, LOTEAMENTO RIO PALMEIRA, LOTE 1, 1 ZONA RURAL. ZONA RURAL. 77300-000 Dianópolis - TO.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-11.63476601,-46.765482
IFTO - CAMPUS AVANCADO PEDRO AFONSO,17055377,TO,Pedro Afonso,Urbana,"RUA CEARA, 1441 SETOR ZACARIAS CAMPELO. 77710-000 Pedro Afonso - TO.",Entre 51 e 200 matrículas de escolarização,"Ensino Médio, Educação Profissional",-8.987758333,-48.16135667
IFTO - CAMPUS COLINAS DO TOCANTINS,17055571,TO,Colinas do Tocantins,Urbana,"AV. BERNARDO SAYAO, SEM NUMERO CHACARA RAIO DE SOL. SETOR SANTA MARIA. 77760-000 Colinas do Tocantins - TO.",Entre 51 e 200 matrículas de escolarização,"Ensino Médio, Educação Profissional",-8.090633844,-48.47567426
IFTO - CAMPUS AVANCADO FORMOSO DO ARAGUAIA,17055580,TO,Formoso do Araguaia,Urbana,"RUA DO ACUDE - QUADRA 19 E 20, LOTES 21 A 26, S/N PROX LAGO MUNICIPAL. CENTRO. 77470-000 Formoso do Araguaia - TO.",Entre 51 e 200 matrículas de escolarização,"Ensino Médio, Educação Profissional",-11.79747004,-49.52424045
IFTO - CAMPUS AVANCADO LAGOA DA CONFUSAO,17055598,TO,Lagoa da Confusão,Urbana,"RUA 02, SN QUADRA 5A, LOTE 01. SETOR LAGOA DA ILHA. 77493-000 Lagoa da Confusão - TO.",Entre 51 e 200 matrículas de escolarização,"Ensino Médio, Educação Profissional",-10.80035138,-49.62907869
IFTO - CAMPUS PARAISO DO TOCANTINS,17087813,TO,Paraíso do Tocantins,Urbana,"BR 153 KM 480, S/N VILA SANTANA. DISTRITO AGROINDUSTRIAL. 77600-000 Paraíso do Tocantins - TO.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-10.26854,-48.88764
