Escola,Código INEP,UF,Município,Localização,Endereço,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Latitude,Longitude
IF FARROUPILHA - CAMPUS JULIO DE CASTILHOS,43246214,RS,Júlio de Castilhos,Rural,"LOCALIDADE DE SAO JOAO DO BARRO PRETO, S/Nº CAIXA POSTAL 38. INTERIOR. 98130-000 Júlio de Castilhos - RS.",Entre 501 e 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-29.18326,-53.71299
IF FARROUPILHA - CAMPUS SANTO AUGUSTO,43246400,RS,Santo Augusto,Rural,"RUA FABIO JOAO ANDOLHE, 1100 FLORESTA. 98590-000 Santo Augusto - RS.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-27.85286,-53.79059
IFSUL - CAMPUS PASSO FUNDO,43265006,RS,Passo Fundo,Urbana,"ESTRADA PERIMETRAL LESTE, 150 SAO CRISTOVAO. 99064-440 Passo Fundo - RS.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-28.24081074,-52.35749617
IFRS - CAMPUS IBIRUBA,43278000,RS,Ibirubá,Urbana,"RUA NELSI RIBAS FRITSCH, 1111 ESPERANCA. 98200-000 Ibirubá - RS.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-28.64968,-53.10378
IFRS - CAMPUS VACARIA,43279007,RS,Vacaria,Urbana,"ESTRADA ENGENHEIRO JOAO VITERBO DE OLIVEIRA, 3061 ZONA RURAL. 95219-899 Vacaria - RS.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-28.4552806,-50.9536175
IFRS - CAMPUS FELIZ,43341055,RS,Feliz,Rural,"RUA PRINCESA ISABEL, 60 VILA RICA. 95770-000 Feliz - RS.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-29.45554,-51.29301
IF FARROUPILHA - CAMPUS SANTA ROSA,43352065,RS,Santa Rosa,Urbana,"AVENIDA CORONEL BRAULIO DE OLIVEIRA, 1400 CENTRAL. 98787-740 Santa Rosa - RS.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-27.84880833,-54.45466667
IFRS - CAMPUS ERECHIM,43361277,RS,Erechim,Urbana,"RUA DOMINGOS ZANELLA, 104 TRES VENDAS. 99713-028 Erechim - RS.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-27.63908,-52.29212
IF FARROUPILHA - CAMPUS SAO BORJA,43362338,RS,São Borja,Urbana,"OTAVIANO CASTILHO MENDES, 355 BETIM. 97670-000 São Borja - RS.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-28.66716,-55.99451
IFSUL - CAMPUS VENANCIO AIRES,43391060,RS,Venâncio Aires,Urbana,"AVENIDA DAS INDUSTRIAS, 1865 UNIVERSITARIO. 95800-000 Venâncio Aires - RS.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional, Educação de Jovens Adultos",-29.63633,-52.17008
IFSUL - CAMPUS CAMAQUA,43391079,RS,Camaquã,Urbana,"RUA ANA GONCALVES DA SILVA, 901 OLARIA. 96785-130 Camaquã - RS.",Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",-30.86545385,-51.80085894
IFSC - CAMPUS FLORIANOPOLIS,42000351,SC,Florianópolis,Urbana,"AVENIDA MAURO RAMOS, 950 CENTRO. 88020-300 Florianópolis - SC.",Mais de 1000 matrículas de escolarização,"Ensino Médio, Educação Profissional",-27.59390874,-48.54281338
